round,method,scenario,path_chosen,rtt_ms,status,reason,timestamp
49,round_robin,normal,1,20.1,success,round_robin,2026-04-30T08:12:10.461859
50,round_robin,normal,2,72.8,success,round_robin,2026-04-30T08:12:10.534812
51,round_robin,normal,1,20.35,success,round_robin,2026-04-30T08:12:10.555342
52,round_robin,normal,2,81.48,success,round_robin,2026-04-30T08:12:10.637028
53,round_robin,normal,1,19.05,success,round_robin,2026-04-30T08:12:10.656193
54,round_robin,normal,2,71.23,success,round_robin,2026-04-30T08:12:10.727595
55,round_robin,normal,1,24.33,success,round_robin,2026-04-30T08:12:10.752106
56,round_robin,normal,2,77.58,success,round_robin,2026-04-30T08:12:10.829919
57,round_robin,normal,1,18.96,success,round_robin,2026-04-30T08:12:10.849058
58,round_robin,normal,2,91.19,success,round_robin,2026-04-30T08:12:10.940564
59,round_robin,normal,1,17.24,success,round_robin,2026-04-30T08:12:10.957913
60,round_robin,normal,2,96.75,success,round_robin,2026-04-30T08:12:11.054862
61,round_robin,normal,1,24.0,success,round_robin,2026-04-30T08:12:11.079040
62,round_robin,normal,2,74.77,success,round_robin,2026-04-30T08:12:11.153981
63,round_robin,normal,1,17.46,success,round_robin,2026-04-30T08:12:11.171621
64,round_robin,normal,2,61.62,success,round_robin,2026-04-30T08:12:11.233407
65,round_robin,normal,1,16.44,success,round_robin,2026-04-30T08:12:11.250020
66,round_robin,normal,2,86.18,success,round_robin,2026-04-30T08:12:11.336466
67,round_robin,normal,1,16.28,success,round_robin,2026-04-30T08:12:11.352923
68,round_robin,normal,2,74.21,success,round_robin,2026-04-30T08:12:11.427313
69,round_robin,normal,1,16.42,success,round_robin,2026-04-30T08:12:11.443997
70,round_robin,normal,2,86.83,success,round_robin,2026-04-30T08:12:11.531008
71,round_robin,normal,1,15.43,success,round_robin,2026-04-30T08:12:11.546614
72,round_robin,normal,2,86.48,success,round_robin,2026-04-30T08:12:11.633256
73,round_robin,normal,1,15.74,success,round_robin,2026-04-30T08:12:11.649178
74,round_robin,normal,2,81.9,success,round_robin,2026-04-30T08:12:11.731266
75,round_robin,normal,1,21.83,success,round_robin,2026-04-30T08:12:11.753268
76,round_robin,normal,2,0,dropped,round_robin,2026-04-30T08:12:11.753296
77,round_robin,normal,1,16.76,success,round_robin,2026-04-30T08:12:11.770212
78,round_robin,normal,2,76.46,success,round_robin,2026-04-30T08:12:11.846946
79,round_robin,normal,1,23.02,success,round_robin,2026-04-30T08:12:11.870365
80,round_robin,normal,2,90.56,success,round_robin,2026-04-30T08:12:11.961124
81,round_robin,normal,1,18.16,success,round_robin,2026-04-30T08:12:11.979449
82,round_robin,normal,2,62.54,success,round_robin,2026-04-30T08:12:12.042172
83,round_robin,normal,1,16.01,success,round_robin,2026-04-30T08:12:12.058289
84,round_robin,normal,2,86.82,success,round_robin,2026-04-30T08:12:12.145353
85,round_robin,normal,1,18.81,success,round_robin,2026-04-30T08:12:12.164346
86,round_robin,normal,2,75.35,success,round_robin,2026-04-30T08:12:12.239856
87,round_robin,normal,1,16.36,success,round_robin,2026-04-30T08:12:12.256353
88,round_robin,normal,2,75.38,success,round_robin,2026-04-30T08:12:12.332191
89,round_robin,normal,1,24.8,success,round_robin,2026-04-30T08:12:12.357171
90,round_robin,normal,2,66.24,success,round_robin,2026-04-30T08:12:12.423571
91,round_robin,normal,1,24.63,success,round_robin,2026-04-30T08:12:12.448369
92,round_robin,normal,2,74.91,success,round_robin,2026-04-30T08:12:12.523469
93,round_robin,normal,1,19.87,success,round_robin,2026-04-30T08:12:12.543582
94,round_robin,normal,2,76.13,success,round_robin,2026-04-30T08:12:12.619924
95,round_robin,normal,1,17.93,success,round_robin,2026-04-30T08:12:12.638040
96,round_robin,normal,2,85.29,success,round_robin,2026-04-30T08:12:12.723540
97,round_robin,normal,1,19.38,success,round_robin,2026-04-30T08:12:12.743168
98,round_robin,normal,2,60.72,success,round_robin,2026-04-30T08:12:12.804051
99,round_robin,normal,1,15.02,success,round_robin,2026-04-30T08:12:12.819184
100,round_robin,normal,2,95.45,success,round_robin,2026-04-30T08:12:12.914817
1,lstm_predictor,normal,1,20.64,success,quality_based,2026-04-30T08:12:16.397896
2,lstm_predictor,normal,1,22.83,success,quality_based,2026-04-30T08:12:16.682006
3,lstm_predictor,normal,1,23.65,success,quality_based,2026-04-30T08:12:16.959801
4,lstm_predictor,normal,1,19.71,success,quality_based,2026-04-30T08:12:17.251888
5,lstm_predictor,normal,1,22.86,success,quality_based,2026-04-30T08:12:17.528285
6,lstm_predictor,normal,1,19.11,success,quality_based,2026-04-30T08:12:17.731852
7,lstm_predictor,normal,1,20.97,success,quality_based,2026-04-30T08:12:18.021556
8,lstm_predictor,normal,1,21.65,success,quality_based,2026-04-30T08:12:18.318520
9,lstm_predictor,normal,1,18.01,success,quality_based,2026-04-30T08:12:18.587125
10,lstm_predictor,normal,1,21.02,success,quality_based,2026-04-30T08:12:18.857249
11,lstm_predictor,normal,1,15.25,success,quality_based,2026-04-30T08:12:19.139600
12,lstm_predictor,normal,1,22.81,success,quality_based,2026-04-30T08:12:19.417685
13,lstm_predictor,normal,1,21.12,success,path2_predicted_degraded,2026-04-30T08:12:19.722538
14,lstm_predictor,normal,1,22.14,success,path2_predicted_degraded,2026-04-30T08:12:20.013062
15,lstm_predictor,normal,1,15.89,success,path2_predicted_degraded,2026-04-30T08:12:20.305142
16,lstm_predictor,normal,1,15.7,success,path2_predicted_degraded,2026-04-30T08:12:20.572506
17,lstm_predictor,normal,1,21.13,success,path2_predicted_degraded,2026-04-30T08:12:20.829397
18,lstm_predictor,normal,1,23.75,success,path2_predicted_degraded,2026-04-30T08:12:21.137583
19,lstm_predictor,normal,1,17.14,success,path2_predicted_degraded,2026-04-30T08:12:21.406905
20,lstm_predictor,normal,1,23.75,success,path2_predicted_degraded,2026-04-30T08:12:21.694451
21,lstm_predictor,normal,1,15.16,success,path2_predicted_degraded,2026-04-30T08:12:21.985461
22,lstm_predictor,normal,1,24.25,success,path2_predicted_degraded,2026-04-30T08:12:22.290014
23,lstm_predictor,normal,1,16.56,success,path2_predicted_degraded,2026-04-30T08:12:22.545119
24,lstm_predictor,normal,1,23.6,success,path2_predicted_degraded,2026-04-30T08:12:22.822491
25,lstm_predictor,normal,1,18.36,success,path2_predicted_degraded,2026-04-30T08:12:23.103762
26,lstm_predictor,normal,1,23.6,success,path2_predicted_degraded,2026-04-30T08:12:23.367448
27,lstm_predictor,normal,1,20.74,success,path2_predicted_degraded,2026-04-30T08:12:23.644440
28,lstm_predictor,normal,1,22.39,success,path2_predicted_degraded,2026-04-30T08:12:23.917376
29,lstm_predictor,normal,1,15.33,success,quality_based,2026-04-30T08:12:24.108617
30,lstm_predictor,normal,1,15.38,success,quality_based,2026-04-30T08:12:24.412127
31,lstm_predictor,normal,1,23.22,success,quality_based,2026-04-30T08:12:24.711667
32,lstm_predictor,normal,1,22.96,success,quality_based,2026-04-30T08:12:25.004663
33,lstm_predictor,normal,1,20.14,success,quality_based,2026-04-30T08:12:25.268367
34,lstm_predictor,normal,1,21.08,success,quality_based,2026-04-30T08:12:28.506616
35,lstm_predictor,normal,1,22.9,success,quality_based,2026-04-30T08:12:28.705877
36,lstm_predictor,normal,1,24.6,success,path2_predicted_degraded,2026-04-30T08:12:29.010922
37,lstm_predictor,normal,1,24.37,success,path2_predicted_degraded,2026-04-30T08:12:29.302514
38,lstm_predictor,normal,1,15.07,success,quality_based,2026-04-30T08:12:29.569942
39,lstm_predictor,normal,1,18.43,success,quality_based,2026-04-30T08:12:29.856010
40,lstm_predictor,normal,1,17.46,success,path2_predicted_degraded,2026-04-30T08:12:30.142610
41,lstm_predictor,normal,1,16.18,success,path2_predicted_degraded,2026-04-30T08:12:30.437303
42,lstm_predictor,normal,1,21.43,success,path2_predicted_degraded,2026-04-30T08:12:30.732399
43,lstm_predictor,normal,1,24.62,success,path2_predicted_degraded,2026-04-30T08:12:31.040603
44,lstm_predictor,normal,1,22.42,success,path2_predicted_degraded,2026-04-30T08:12:31.329299
45,lstm_predictor,normal,1,21.18,success,path2_predicted_degraded,2026-04-30T08:12:31.602112
46,lstm_predictor,normal,1,16.43,success,path2_predicted_degraded,2026-04-30T08:12:31.870918
47,lstm_predictor,normal,1,16.54,success,path2_predicted_degraded,2026-04-30T08:12:32.137599
48,lstm_predictor,normal,1,15.17,success,path2_predicted_degraded,2026-04-30T08:12:32.414360
49,lstm_predictor,normal,1,24.79,success,path2_predicted_degraded,2026-04-30T08:12:32.707573
50,lstm_predictor,normal,1,20.17,success,path2_predicted_degraded,2026-04-30T08:12:32.994320
51,lstm_predictor,normal,1,23.76,success,quality_based,2026-04-30T08:12:33.260989
52,lstm_predictor,normal,1,17.56,success,quality_based,2026-04-30T08:12:33.560682
53,lstm_predictor,normal,1,24.52,success,quality_based,2026-04-30T08:12:33.868722
54,lstm_predictor,normal,1,20.54,success,quality_based,2026-04-30T08:12:34.194247
55,lstm_predictor,normal,1,19.89,success,quality_based,2026-04-30T08:12:34.506551
56,lstm_predictor,normal,1,24.36,success,quality_based,2026-04-30T08:12:34.774845
57,lstm_predictor,normal,1,17.68,success,quality_based,2026-04-30T08:12:35.080547
58,lstm_predictor,normal,1,20.22,success,path2_predicted_degraded,2026-04-30T08:12:35.386166
59,lstm_predictor,normal,1,22.79,success,path2_predicted_degraded,2026-04-30T08:12:35.718502
60,lstm_predictor,normal,1,20.2,success,path2_predicted_degraded,2026-04-30T08:12:36.047336
61,lstm_predictor,normal,1,24.2,success,path2_predicted_degraded,2026-04-30T08:12:36.268480
62,lstm_predictor,normal,1,18.28,success,path2_predicted_degraded,2026-04-30T08:12:36.554624
63,lstm_predictor,normal,1,23.91,success,path2_predicted_degraded,2026-04-30T08:12:36.876294
64,lstm_predictor,normal,1,17.85,success,path2_predicted_degraded,2026-04-30T08:12:37.172116
65,lstm_predictor,normal,1,23.33,success,path2_predicted_degraded,2026-04-30T08:12:37.478548
66,lstm_predictor,normal,1,20.28,success,path2_predicted_degraded,2026-04-30T08:12:37.807070
67,lstm_predictor,normal,1,17.36,success,path2_predicted_degraded,2026-04-30T08:12:38.089880
68,lstm_predictor,normal,1,20.49,success,path2_predicted_degraded,2026-04-30T08:12:38.406444
69,lstm_predictor,normal,1,16.34,success,path2_predicted_degraded,2026-04-30T08:12:38.610560
70,lstm_predictor,normal,1,21.7,success,path2_predicted_degraded,2026-04-30T08:12:38.897170
71,lstm_predictor,normal,1,23.62,success,path2_predicted_degraded,2026-04-30T08:12:39.216839
72,lstm_predictor,normal,1,16.53,success,path2_predicted_degraded,2026-04-30T08:12:39.418998
73,lstm_predictor,normal,1,23.88,success,path2_predicted_degraded,2026-04-30T08:12:39.709869
74,lstm_predictor,normal,1,22.14,success,quality_based,2026-04-30T08:12:39.930110
75,lstm_predictor,normal,1,22.22,success,quality_based,2026-04-30T08:12:40.205200
76,lstm_predictor,normal,1,16.84,success,quality_based,2026-04-30T08:12:40.530665
77,lstm_predictor,normal,1,15.81,success,quality_based,2026-04-30T08:12:40.816862
78,lstm_predictor,normal,1,16.74,success,quality_based,2026-04-30T08:12:41.031493
79,lstm_predictor,normal,1,23.55,success,quality_based,2026-04-30T08:12:41.326835
80,lstm_predictor,normal,1,21.69,success,quality_based,2026-04-30T08:12:41.600664
81,lstm_predictor,normal,1,23.86,success,quality_based,2026-04-30T08:12:41.875673
82,lstm_predictor,normal,1,22.16,success,quality_based,2026-04-30T08:12:42.175141
83,lstm_predictor,normal,1,15.05,success,quality_based,2026-04-30T08:12:42.384118
84,lstm_predictor,normal,1,23.29,success,quality_based,2026-04-30T08:12:42.696550
85,lstm_predictor,normal,1,24.92,success,quality_based,2026-04-30T08:12:42.980839
86,lstm_predictor,normal,1,18.5,success,quality_based,2026-04-30T08:12:43.290831
87,lstm_predictor,normal,1,22.49,success,quality_based,2026-04-30T08:12:43.575248
88,lstm_predictor,normal,1,17.68,success,quality_based,2026-04-30T08:12:43.857686
89,lstm_predictor,normal,1,23.45,success,quality_based,2026-04-30T08:12:44.168845
90,lstm_predictor,normal,1,21.96,success,quality_based,2026-04-30T08:12:44.475340
91,lstm_predictor,normal,1,22.79,success,quality_based,2026-04-30T08:12:44.775304
92,lstm_predictor,normal,1,23.2,success,quality_based,2026-04-30T08:12:45.070222
93,lstm_predictor,normal,1,20.93,success,quality_based,2026-04-30T08:12:45.341767
94,lstm_predictor,normal,1,22.49,success,quality_based,2026-04-30T08:12:45.637228
95,lstm_predictor,normal,1,18.11,success,quality_based,2026-04-30T08:12:45.924864
96,lstm_predictor,normal,1,16.89,success,quality_based,2026-04-30T08:12:46.240347
97,lstm_predictor,normal,1,15.34,success,path2_predicted_degraded,2026-04-30T08:12:46.535089
98,lstm_predictor,normal,1,20.16,success,path2_predicted_degraded,2026-04-30T08:12:46.822824
99,lstm_predictor,normal,1,19.8,success,quality_based,2026-04-30T08:12:47.112980
100,lstm_predictor,normal,1,24.14,success,path2_predicted_degraded,2026-04-30T08:12:47.446058
1,round_robin,path1_degraded,1,206.54,success,round_robin,2026-04-30T08:12:47.673704
2,round_robin,path1_degraded,2,71.78,success,round_robin,2026-04-30T08:12:47.745953
3,round_robin,path1_degraded,1,157.5,success,round_robin,2026-04-30T08:12:47.903753
4,round_robin,path1_degraded,2,92.93,success,round_robin,2026-04-30T08:12:47.996899
5,round_robin,path1_degraded,1,208.27,success,round_robin,2026-04-30T08:12:48.205286
6,round_robin,path1_degraded,2,91.47,success,round_robin,2026-04-30T08:12:48.296970
7,round_robin,path1_degraded,1,176.59,success,round_robin,2026-04-30T08:12:48.473803
8,round_robin,path1_degraded,2,64.07,success,round_robin,2026-04-30T08:12:48.538042
9,round_robin,path1_degraded,1,214.94,success,round_robin,2026-04-30T08:12:48.753212
10,round_robin,path1_degraded,2,72.14,success,round_robin,2026-04-30T08:12:48.825520
11,round_robin,path1_degraded,1,176.96,success,round_robin,2026-04-30T08:12:49.002718
12,round_robin,path1_degraded,2,75.52,success,round_robin,2026-04-30T08:12:49.078403
13,round_robin,path1_degraded,1,154.33,success,round_robin,2026-04-30T08:12:49.232995
14,round_robin,path1_degraded,2,68.59,success,round_robin,2026-04-30T08:12:49.301754
15,round_robin,path1_degraded,1,195.47,success,round_robin,2026-04-30T08:12:49.497551
16,round_robin,path1_degraded,2,77.29,success,round_robin,2026-04-30T08:12:49.575040
17,round_robin,path1_degraded,1,217.23,success,round_robin,2026-04-30T08:12:49.792511
18,round_robin,path1_degraded,2,78.05,success,round_robin,2026-04-30T08:12:49.870738
19,round_robin,path1_degraded,1,203.57,success,round_robin,2026-04-30T08:12:50.074559
20,round_robin,path1_degraded,2,91.61,success,round_robin,2026-04-30T08:12:50.166468
21,round_robin,path1_degraded,1,189.92,success,round_robin,2026-04-30T08:12:50.356640
22,round_robin,path1_degraded,2,71.08,success,round_robin,2026-04-30T08:12:50.427941
23,round_robin,path1_degraded,1,204.55,success,round_robin,2026-04-30T08:12:50.632723
24,round_robin,path1_degraded,2,65.21,success,round_robin,2026-04-30T08:12:50.698113
25,round_robin,path1_degraded,1,191.5,success,round_robin,2026-04-30T08:12:50.889848
26,round_robin,path1_degraded,2,96.01,success,round_robin,2026-04-30T08:12:50.986044
27,round_robin,path1_degraded,1,186.06,success,round_robin,2026-04-30T08:12:51.172328
28,round_robin,path1_degraded,2,67.7,success,round_robin,2026-04-30T08:12:51.240134
29,round_robin,path1_degraded,1,169.82,success,round_robin,2026-04-30T08:12:51.410214
30,round_robin,path1_degraded,2,0,dropped,round_robin,2026-04-30T08:12:51.410243
31,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:51.410248
32,round_robin,path1_degraded,2,98.38,success,round_robin,2026-04-30T08:12:51.508803
33,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:51.508833
34,round_robin,path1_degraded,2,94.27,success,round_robin,2026-04-30T08:12:51.603277
35,round_robin,path1_degraded,1,219.14,success,round_robin,2026-04-30T08:12:51.822678
36,round_robin,path1_degraded,2,95.24,success,round_robin,2026-04-30T08:12:51.918117
37,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:51.918150
38,round_robin,path1_degraded,2,99.58,success,round_robin,2026-04-30T08:12:52.017940
39,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:52.017977
40,round_robin,path1_degraded,2,88.53,success,round_robin,2026-04-30T08:12:52.106671
41,round_robin,path1_degraded,1,150.48,success,round_robin,2026-04-30T08:12:52.257253
42,round_robin,path1_degraded,2,92.1,success,round_robin,2026-04-30T08:12:52.349549
43,round_robin,path1_degraded,1,216.49,success,round_robin,2026-04-30T08:12:52.566334
44,round_robin,path1_degraded,2,91.51,success,round_robin,2026-04-30T08:12:52.658040
45,round_robin,path1_degraded,1,183.86,success,round_robin,2026-04-30T08:12:52.842129
46,round_robin,path1_degraded,2,97.49,success,round_robin,2026-04-30T08:12:52.939811
47,round_robin,path1_degraded,1,152.14,success,round_robin,2026-04-30T08:12:53.092199
48,round_robin,path1_degraded,2,92.01,success,round_robin,2026-04-30T08:12:53.184428
49,round_robin,path1_degraded,1,198.5,success,round_robin,2026-04-30T08:12:53.383266
50,round_robin,path1_degraded,2,93.43,success,round_robin,2026-04-30T08:12:53.476887
51,round_robin,path1_degraded,1,215.82,success,round_robin,2026-04-30T08:12:53.692947
52,round_robin,path1_degraded,2,89.48,success,round_robin,2026-04-30T08:12:53.782626
53,round_robin,path1_degraded,1,174.04,success,round_robin,2026-04-30T08:12:53.956897
54,round_robin,path1_degraded,2,74.12,success,round_robin,2026-04-30T08:12:54.031189
55,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:54.031218
56,round_robin,path1_degraded,2,85.45,success,round_robin,2026-04-30T08:12:54.116822
57,round_robin,path1_degraded,1,178.15,success,round_robin,2026-04-30T08:12:54.295283
58,round_robin,path1_degraded,2,70.46,success,round_robin,2026-04-30T08:12:54.365924
59,round_robin,path1_degraded,1,192.4,success,round_robin,2026-04-30T08:12:54.558518
60,round_robin,path1_degraded,2,64.58,success,round_robin,2026-04-30T08:12:54.623289
61,round_robin,path1_degraded,1,187.07,success,round_robin,2026-04-30T08:12:54.810726
62,round_robin,path1_degraded,2,67.66,success,round_robin,2026-04-30T08:12:54.878579
63,round_robin,path1_degraded,1,141.94,success,round_robin,2026-04-30T08:12:55.020789
64,round_robin,path1_degraded,2,67.1,success,round_robin,2026-04-30T08:12:55.088067
65,round_robin,path1_degraded,1,173.65,success,round_robin,2026-04-30T08:12:55.261899
66,round_robin,path1_degraded,2,81.95,success,round_robin,2026-04-30T08:12:55.344055
67,round_robin,path1_degraded,1,159.92,success,round_robin,2026-04-30T08:12:55.504215
68,round_robin,path1_degraded,2,68.17,success,round_robin,2026-04-30T08:12:55.572550
69,round_robin,path1_degraded,1,142.78,success,round_robin,2026-04-30T08:12:55.715582
70,round_robin,path1_degraded,2,98.62,success,round_robin,2026-04-30T08:12:55.814472
71,round_robin,path1_degraded,1,184.27,success,round_robin,2026-04-30T08:12:55.999005
72,round_robin,path1_degraded,2,82.84,success,round_robin,2026-04-30T08:12:56.082023
73,round_robin,path1_degraded,1,193.96,success,round_robin,2026-04-30T08:12:56.276110
74,round_robin,path1_degraded,2,95.49,success,round_robin,2026-04-30T08:12:56.371810
75,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:56.371891
76,round_robin,path1_degraded,2,67.13,success,round_robin,2026-04-30T08:12:56.439168
77,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:56.439197
78,round_robin,path1_degraded,2,64.32,success,round_robin,2026-04-30T08:12:56.503714
79,round_robin,path1_degraded,1,156.63,success,round_robin,2026-04-30T08:12:56.660609
80,round_robin,path1_degraded,2,70.07,success,round_robin,2026-04-30T08:12:56.731056
81,round_robin,path1_degraded,1,146.86,success,round_robin,2026-04-30T08:12:56.878106
82,round_robin,path1_degraded,2,98.17,success,round_robin,2026-04-30T08:12:56.976474
83,round_robin,path1_degraded,1,206.94,success,round_robin,2026-04-30T08:12:57.183664
84,round_robin,path1_degraded,2,83.56,success,round_robin,2026-04-30T08:12:57.267384
85,round_robin,path1_degraded,1,158.29,success,round_robin,2026-04-30T08:12:57.426004
86,round_robin,path1_degraded,2,87.16,success,round_robin,2026-04-30T08:12:57.513432
87,round_robin,path1_degraded,1,161.88,success,round_robin,2026-04-30T08:12:57.675708
88,round_robin,path1_degraded,2,73.64,success,round_robin,2026-04-30T08:12:57.749534
89,round_robin,path1_degraded,1,186.99,success,round_robin,2026-04-30T08:12:57.936770
90,round_robin,path1_degraded,2,69.9,success,round_robin,2026-04-30T08:12:58.006848
91,round_robin,path1_degraded,1,0,dropped,round_robin,2026-04-30T08:12:58.006877
92,round_robin,path1_degraded,2,64.63,success,round_robin,2026-04-30T08:12:58.071657
93,round_robin,path1_degraded,1,212.69,success,round_robin,2026-04-30T08:12:58.284515
94,round_robin,path1_degraded,2,99.21,success,round_robin,2026-04-30T08:12:58.383956
95,round_robin,path1_degraded,1,169.92,success,round_robin,2026-04-30T08:12:58.554140
96,round_robin,path1_degraded,2,92.21,success,round_robin,2026-04-30T08:12:58.646551
97,round_robin,path1_degraded,1,169.95,success,round_robin,2026-04-30T08:12:58.816841
98,round_robin,path1_degraded,2,77.09,success,round_robin,2026-04-30T08:12:58.894101
99,round_robin,path1_degraded,1,177.69,success,round_robin,2026-04-30T08:12:59.072012
100,round_robin,path1_degraded,2,74.76,success,round_robin,2026-04-30T08:12:59.146952
1,lstm_predictor,path1_degraded,2,60.85,success,path1_predicted_degraded,2026-04-30T08:13:08.741725
2,lstm_predictor,path1_degraded,2,63.85,success,path1_predicted_degraded,2026-04-30T08:13:09.148485
3,lstm_predictor,path1_degraded,2,74.59,success,path1_predicted_degraded,2026-04-30T08:13:09.559566
4,lstm_predictor,path1_degraded,2,61.24,success,path1_predicted_degraded,2026-04-30T08:13:09.970628
5,lstm_predictor,path1_degraded,2,70.52,success,path1_predicted_degraded,2026-04-30T08:13:10.386707
6,lstm_predictor,path1_degraded,2,83.53,success,path1_predicted_degraded,2026-04-30T08:13:10.806788
7,lstm_predictor,path1_degraded,2,91.22,success,path1_predicted_degraded,2026-04-30T08:13:11.271281
8,lstm_predictor,path1_degraded,2,66.66,success,path1_predicted_degraded,2026-04-30T08:13:11.697668
9,lstm_predictor,path1_degraded,2,65.08,success,path1_predicted_degraded,2026-04-30T08:13:12.145092
10,lstm_predictor,path1_degraded,2,98.53,success,path1_predicted_degraded,2026-04-30T08:13:12.613484
11,lstm_predictor,path1_degraded,2,65.07,success,path1_predicted_degraded,2026-04-30T08:13:13.042235
12,lstm_predictor,path1_degraded,2,66.4,success,path1_predicted_degraded,2026-04-30T08:13:13.287991
13,lstm_predictor,path1_degraded,2,99.35,success,path1_predicted_degraded,2026-04-30T08:13:13.778175
14,lstm_predictor,path1_degraded,2,98.39,success,path1_predicted_degraded,2026-04-30T08:13:14.284445
15,lstm_predictor,path1_degraded,2,84.54,success,both_degraded_choose_better,2026-04-30T08:13:14.767744
16,lstm_predictor,path1_degraded,2,70.03,success,both_degraded_choose_better,2026-04-30T08:13:15.165532
17,lstm_predictor,path1_degraded,2,69.23,success,both_degraded_choose_better,2026-04-30T08:13:15.600219
18,lstm_predictor,path1_degraded,2,70.26,success,both_degraded_choose_better,2026-04-30T08:13:16.027552
19,lstm_predictor,path1_degraded,2,94.24,success,both_degraded_choose_better,2026-04-30T08:13:16.469139
20,lstm_predictor,path1_degraded,2,62.81,success,both_degraded_choose_better,2026-04-30T08:13:16.922225
21,lstm_predictor,path1_degraded,2,64.04,success,path1_predicted_degraded,2026-04-30T08:13:17.367166
22,lstm_predictor,path1_degraded,2,76.46,success,path1_predicted_degraded,2026-04-30T08:13:17.801594
23,lstm_predictor,path1_degraded,2,98.1,success,path1_predicted_degraded,2026-04-30T08:13:18.268304
24,lstm_predictor,path1_degraded,2,91.22,success,path1_predicted_degraded,2026-04-30T08:13:18.683888
